info,url,more,time
Наталля Жылевіч: Беларусь можа ўнесці значны ўклад у развіццё ЦЕІ,/be/news/20170109/1483981004-natallya-zhylevich-belarus-mozha-unesci-znachny-uklad-u-razviccyo-cei,"Аб гэтым у інтэрв'ю тэлеканалу ""Беларусь 24"" заявіла пасол па асаблівых даручэннях МЗС Беларусі, нацыянальны каардынатар па супрацоўніцтве з ЦЕІ Наталля Жылевіч.",09.01.2017
Восем чалавек загінулі на Сінаі пасля нападу смяротніка,/be/news/20170109/1483973068-vosem-chalavek-zaginuli-na-sinai-paslya-napadu-smyarotnika,Не менш за восем чалавек загінулі на Сінайскім паўвостраве ў Егіпце пасля таго як смяротнік урэзаўся на начыненым выбухоўкай грузавіку ў бу,09.01.2017
На змену моцным маразам у Беларусь на гэтым тыдні прыйдуць мяцеліцы,/be/news/20170109/1483958025-na-zmenu-mocnym-marazam-u-belarus-na-getym-tydni-pryyduc-myacelicy,"""Пік маразоў падыходзіць да канца, яны пачнуць паступова слабець, але ім на змену прыйдуць снег, парывісты вецер і мяцеліцы.",09.01.2017
"Емен: армія прасоўваецца да порта Хадэйда, які кантралююць паўстанцы",/be/news/20170109/1483948397-emen-armiya-prasouvaecca-da-porta-hadeyda-yaki-kantralyuyuc-paustancy,"Крыніцы ў еменскай арміі паведамляюць, што прасоўванню іх сіл перашкаджаюць мінныя палі, пакінутыя адступаючымі паўстанцамі.",09.01.2017
З-за галалёду на некаторых трасах Беларусі зніжаны хуткасны рэжым,/be/news/20170109/1483976763-z-za-galalyodu-na-nekatoryh-trasah-belarusi-znizhany-hutkasny-rezhym,Пра гэта паведамілі ва УДАІ УУС Мінаблвыканкама.,09.01.2017
"Хакеіст Давід Ульстрэм пакінуў мінскае ""Дынама""",/be/news/20170109/1483976681-hakeist-david-ulstrem-pakinuu-minskae-dynama,Аб гэтым паведамілі ў прэс-службе каманды.,09.01.2017
Створаны аргкамітэт па падрыхтоўцы і правядзенні Еўрагульняў-2019,/be/news/20170109/1483976622-stvorany-argkamitet-pa-padryhtoucy-i-pravyadzenni-euragulnyau-2019,Пра гэта паведамілі ў прэс-службе беларускага лідара.,09.01.2017
Забастоўка супрацоўнікаў метро паралізавала Лондан,/be/news/20170109/1483972782-zabastouka-supracounikau-metro-paralizavala-londan,Відэа транспартнага калапсу ў горадзе апублікавана на канале 5 News на YouTube.,09.01.2017
"У Віцебску знойдзены тайнік з 28,5 кг марыхуаны",/be/news/20170109/1483947819-u-vicebsku-znoydzeny-taynik-z-285-kg-maryhuany,"У Віцебску знойдзены тайнік з 28,5 кг марыхуаны, затрыманы віцяблянін, якому належаў наркатычны сродак.",09.01.2017
Метэарыт выбухнуў у небе над Архангельскай вобласцю Расіі,/be/news/20170109/1483944980-metearyt-vybuhnuu-u-nebe-nad-arhangelskay-voblascyu-rasii,Пра гэта перадае Flashnord.,09.01.2017
